treat	patch	patchrec	quad	algae
con	1	p1	1	0
con	1	p1	2	0
con	1	p1	3	0
con	1	p1	4	6
con	1	p1	5	2
con	2	p2	1	0
con	2	p2	2	0
con	2	p2	3	0
con	2	p2	4	0
con	2	p2	5	0
con	3	p3	1	0
con	3	p3	2	0
con	3	p3	3	0
con	3	p3	4	4
con	3	p3	5	1
con	4	p4	1	0
con	4	p4	2	0
con	4	p4	3	0
con	4	p4	4	13
con	4	p4	5	0
t0.66	5	p1	1	23
t0.66	5	p1	2	17
t0.66	5	p1	3	0
t0.66	5	p1	4	56
t0.66	5	p1	5	46
t0.66	6	p2	1	0
t0.66	6	p2	2	79
t0.66	6	p2	3	32
t0.66	6	p2	4	51
t0.66	6	p2	5	22
t0.66	7	p3	1	5
t0.66	7	p3	2	0
t0.66	7	p3	3	0
t0.66	7	p3	4	0
t0.66	7	p3	5	0
t0.66	8	p4	1	0
t0.66	8	p4	2	56
t0.66	8	p4	3	3
t0.66	8	p4	4	0
t0.66	8	p4	5	41
t0.33	9	p1	1	0
t0.33	9	p1	2	5
t0.33	9	p1	3	8
t0.33	9	p1	4	0
t0.33	9	p1	5	0
t0.33	10	p2	1	0
t0.33	10	p2	2	0
t0.33	10	p2	3	0
t0.33	10	p2	4	0
t0.33	10	p2	5	0
t0.33	11	p3	1	43
t0.33	11	p3	2	8
t0.33	11	p3	3	69
t0.33	11	p3	4	29
t0.33	11	p3	5	39
t0.33	12	p4	1	40
t0.33	12	p4	2	63
t0.33	12	p4	3	0
t0.33	12	p4	4	71
t0.33	12	p4	5	5
rem	13	p1	1	46
rem	13	p1	2	44
rem	13	p1	3	41
rem	13	p1	4	29
rem	13	p1	5	11
rem	14	p2	1	65
rem	14	p2	2	55
rem	14	p2	3	61
rem	14	p2	4	74
rem	14	p2	5	55
rem	15	p3	1	0
rem	15	p3	2	5
rem	15	p3	3	0
rem	15	p3	4	0
rem	15	p3	5	6
rem	16	p4	1	30
rem	16	p4	2	82
rem	16	p4	3	70
rem	16	p4	4	27
rem	16	p4	5	83
